Date,ticker,Open,High,Low,close,Volume
2014-07-01T00:00:00.000+05:00,SEARL,174.54,183.26,174.0,183.26,137600.0
2014-07-02T00:00:00.000+05:00,SEARL,183.26,190.99,182.55,183.97,185300.0
2014-07-03T00:00:00.000+05:00,SEARL,183.97,184.75,182.3,182.94,97900.0
2014-07-04T00:00:00.000+05:00,SEARL,182.94,184.4,177.5,179.03,78800.0
2014-07-07T00:00:00.000+05:00,SEARL,179.03,180.0,177.0,177.49,30000.0
2014-07-08T00:00:00.000+05:00,SEARL,177.49,178.2,176.6,177.72,14100.0
2014-07-09T00:00:00.000+05:00,SEARL,177.72,178.75,176.6,177.23,27500.0
2014-07-10T00:00:00.000+05:00,SEARL,177.23,178.0,173.7,174.11,47600.0
2014-07-11T00:00:00.000+05:00,SEARL,174.11,175.01,173.0,173.76,46000.0
2014-07-14T00:00:00.000+05:00,SEARL,173.76,175.98,171.5,174.19,75600.0
2014-07-15T00:00:00.000+05:00,SEARL,174.19,180.75,175.0,178.75,1079700.0
2014-07-16T00:00:00.000+05:00,SEARL,178.75,179.99,176.0,176.99,167200.0
2014-07-17T00:00:00.000+05:00,SEARL,176.99,185.83,177.0,185.83,368400.0
2014-07-18T00:00:00.000+05:00,SEARL,185.83,194.5,185.0,189.41,494900.0
2014-07-21T00:00:00.000+05:00,SEARL,189.41,198.88,186.0,197.59,402100.0
2014-07-22T00:00:00.000+05:00,SEARL,197.59,202.1,193.5,194.11,178600.0
2014-07-23T00:00:00.000+05:00,SEARL,194.11,196.0,190.0,191.82,77600.0
2014-07-24T00:00:00.000+05:00,SEARL,191.82,197.0,190.1,192.2,114300.0
2014-08-04T00:00:00.000+05:00,SEARL,188.42,184.74,179.0,179.12,236500.0
2014-08-05T00:00:00.000+05:00,SEARL,179.12,182.0,173.0,177.33,125900.0
2014-08-06T00:00:00.000+05:00,SEARL,177.33,176.99,172.5,174.61,52900.0
2014-08-07T00:00:00.000+05:00,SEARL,174.61,176.0,170.6,172.42,197700.0
2014-08-08T00:00:00.000+05:00,SEARL,172.42,172.99,170.15,171.01,39200.0
2014-08-11T00:00:00.000+05:00,SEARL,171.01,162.46,162.46,162.46,25000.0
2014-08-12T00:00:00.000+05:00,SEARL,162.46,169.0,154.35,168.13,204800.0
2014-08-13T00:00:00.000+05:00,SEARL,168.13,174.9,163.0,169.76,234100.0
2014-08-15T00:00:00.000+05:00,SEARL,169.76,176.0,170.5,174.13,99900.0
2014-08-18T00:00:00.000+05:00,SEARL,174.13,179.0,170.0,177.92,125500.0
2014-08-19T00:00:00.000+05:00,SEARL,174.13,179.0,170.0,177.92,125500.0
2014-08-20T00:00:00.000+05:00,SEARL,181.96,190.0,178.5,187.75,388500.0
2014-08-21T00:00:00.000+05:00,SEARL,187.75,194.5,185.0,186.02,481100.0
2014-08-22T00:00:00.000+05:00,SEARL,186.02,188.85,183.6,184.68,163800.0
2014-08-25T00:00:00.000+05:00,SEARL,184.68,185.0,180.0,180.5,41200.0
2014-08-26T00:00:00.000+05:00,SEARL,180.5,181.9,175.5,177.1,86500.0
2014-08-27T00:00:00.000+05:00,SEARL,177.1,175.3,168.25,169.27,209100.0
2014-08-28T00:00:00.000+05:00,SEARL,169.27,170.0,161.0,167.94,328700.0
2014-08-29T00:00:00.000+05:00,SEARL,167.94,176.33,172.5,174.71,221400.0
2014-09-01T00:00:00.000+05:00,SEARL,174.71,174.49,167.5,171.26,676300.0
2014-09-02T00:00:00.000+05:00,SEARL,171.26,179.82,173.5,179.82,228000.0
2014-09-03T00:00:00.000+05:00,SEARL,179.82,188.81,183.0,188.2,318700.0
2014-09-04T00:00:00.000+05:00,SEARL,188.2,196.0,187.31,191.56,451200.0
2014-09-05T00:00:00.000+05:00,SEARL,191.56,201.13,190.0,201.13,639900.0
2014-09-08T00:00:00.000+05:00,SEARL,201.13,211.18,204.0,211.18,726800.0
2014-09-09T00:00:00.000+05:00,SEARL,211.18,221.73,215.55,221.72,644400.0
2014-09-10T00:00:00.000+05:00,SEARL,221.72,225.5,210.65,213.23,581000.0
2014-09-11T00:00:00.000+05:00,SEARL,213.23,221.0,208.0,217.5,509900.0
2014-09-12T00:00:00.000+05:00,SEARL,217.5,222.0,213.65,216.63,397000.0
2014-09-15T00:00:00.000+05:00,SEARL,216.63,219.49,211.05,214.48,165300.0
2014-09-16T00:00:00.000+05:00,SEARL,214.48,225.2,216.0,225.2,842700.0
2014-09-18T00:00:00.000+05:00,SEARL,236.46,243.5,230.0,232.31,890500.0
2014-09-19T00:00:00.000+05:00,SEARL,232.31,241.5,230.0,238.11,491900.0
2014-09-22T00:00:00.000+05:00,SEARL,238.11,250.01,242.0,250.0,1258200.0
2014-09-23T00:00:00.000+05:00,SEARL,250.0,256.0,242.12,245.87,999000.0
2014-09-24T00:00:00.000+05:00,SEARL,245.87,258.16,240.0,252.8,1718500.0
2014-09-25T00:00:00.000+05:00,SEARL,252.8,265.44,265.44,265.44,99200.0
2014-09-26T00:00:00.000+05:00,SEARL,265.44,278.71,252.3,255.64,2269400.0
2014-09-29T00:00:00.000+05:00,SEARL,255.64,253.4,242.86,242.86,397800.0
2014-09-30T00:00:00.000+05:00,SEARL,242.86,248.5,231.33,244.95,1001600.0
2014-10-01T00:00:00.000+05:00,SEARL,244.95,254.9,246.51,252.03,761200.0
2014-10-02T00:00:00.000+05:00,SEARL,252.03,258.0,251.05,252.46,587700.0
2014-10-03T00:00:00.000+05:00,SEARL,252.46,254.0,247.0,249.93,315600.0
2014-10-09T00:00:00.000+05:00,SEARL,249.93,254.0,250.2,251.08,272600.0
2014-10-10T00:00:00.000+05:00,SEARL,251.08,263.63,249.7,263.63,994100.0
2014-10-13T00:00:00.000+05:00,SEARL,263.63,272.5,263.11,264.78,973300.0
2014-10-14T00:00:00.000+05:00,SEARL,264.78,269.0,252.1,256.34,806600.0
